epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,49839.000176,0.0,0.152,8e-05,63.0,0.5,0.0,0.354,0.452,1000,model/partialdp/20210511/164815/data-wikitext-2-add10b-missed-append10_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-49839.0001760_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,3170.8904375,0.04886,2.548,8e-05,4.8,0.512,0.0,0.352,0.456,1000,model/partialdp/20210511/164815/data-wikitext-2-add10b-missed-append10_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-3170.8904375_acc-0.04886_epoch-1_ep-2.548_dl-8e-05_ap-4.80
1,2175.7228255,0.04291,2.613,8e-05,4.7,0.504,0.0,0.35,0.478,1000,model/partialdp/20210511/164815/data-wikitext-2-add10b-missed-append10_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2175.7228255_acc-0.04291_epoch-1_ep-2.613_dl-8e-05_ap-4.70
1,1899.6156852,0.049,2.643,8e-05,4.7,0.504,0.0,0.35,0.492,1000,model/partialdp/20210511/164815/data-wikitext-2-add10b-missed-append10_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1899.6156852_acc-0.04900_epoch-1_ep-2.643_dl-8e-05_ap-4.70
1,1699.7759328,0.04572,2.674,8e-05,4.7,0.5,0.0,0.348,0.496,1000,model/partialdp/20210511/164815/data-wikitext-2-add10b-missed-append10_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1699.7759328_acc-0.04572_epoch-1_ep-2.674_dl-8e-05_ap-4.70
1,1615.8718396,0.04572,2.7,8e-05,4.6,0.514,0.0,0.348,0.514,1000,model/partialdp/20210511/164815/data-wikitext-2-add10b-missed-append10_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1615.8718396_acc-0.04572_epoch-1_ep-2.700_dl-8e-05_ap-4.60
1,1527.0168067,0.04572,2.716,8e-05,4.6,0.53,0.0,0.348,0.524,1000,model/partialdp/20210511/164815/data-wikitext-2-add10b-missed-append10_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1527.0168067_acc-0.04572_epoch-1_ep-2.716_dl-8e-05_ap-4.60
1,1456.4443696,0.04646,2.732,8e-05,4.6,0.54,0.0,0.35,0.532,1000,model/partialdp/20210511/164815/data-wikitext-2-add10b-missed-append10_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1456.4443696_acc-0.04646_epoch-1_ep-2.732_dl-8e-05_ap-4.60
1,1391.7570706,0.04669,2.746,8e-05,4.6,0.542,0.0,0.35,0.54,1000,model/partialdp/20210511/164815/data-wikitext-2-add10b-missed-append10_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1391.7570706_acc-0.04669_epoch-1_ep-2.746_dl-8e-05_ap-4.60
1,1342.9075443,0.04669,2.762,8e-05,4.6,0.544,0.0,0.35,0.538,1000,model/partialdp/20210511/164815/data-wikitext-2-add10b-missed-append10_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1342.9075443_acc-0.04669_epoch-1_ep-2.762_dl-8e-05_ap-4.60
1,1310.1196848,0.04669,2.778,8e-05,4.6,0.544,0.0,0.35,0.538,1000,model/partialdp/20210511/164815/data-wikitext-2-add10b-missed-append10_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1310.1196848_acc-0.04669_epoch-1_ep-2.778_dl-8e-05_ap-4.60
1,1261.6704445,0.04702,2.789,8e-05,4.5,0.548,0.0,0.35,0.54,1000,model/partialdp/20210511/164815/data-wikitext-2-add10b-missed-append10_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1261.6704445_acc-0.04702_epoch-1_ep-2.789_dl-8e-05_ap-4.50
1,1222.2115463,0.03776,2.798,8e-05,4.5,0.55,0.0,0.352,0.544,1000,model/partialdp/20210511/164815/data-wikitext-2-add10b-missed-append10_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1222.2115463_acc-0.03776_epoch-1_ep-2.798_dl-8e-05_ap-4.50
1,1164.4196054,0.0476,2.806,8e-05,4.5,0.55,0.0,0.35,0.544,1000,model/partialdp/20210511/164815/data-wikitext-2-add10b-missed-append10_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1164.4196054_acc-0.04760_epoch-1_ep-2.806_dl-8e-05_ap-4.50
1,1138.4104564,0.04702,2.815,8e-05,4.5,0.546,0.0,0.35,0.542,1000,model/partialdp/20210511/164815/data-wikitext-2-add10b-missed-append10_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1138.4104564_acc-0.04702_epoch-1_ep-2.815_dl-8e-05_ap-4.50
1,1057.4429061,0.09133,2.823,8e-05,4.5,0.546,0.0,0.35,0.542,1000,model/partialdp/20210511/164815/data-wikitext-2-add10b-missed-append10_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1057.4429061_acc-0.09133_epoch-1_ep-2.823_dl-8e-05_ap-4.50
1,995.0180206,0.12382,2.831,8e-05,4.5,0.544,0.0,0.35,0.544,1000,model/partialdp/20210511/164815/data-wikitext-2-add10b-missed-append10_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-995.0180206_acc-0.12382_epoch-1_ep-2.831_dl-8e-05_ap-4.50
1,932.1753322,0.10864,2.84,8e-05,4.5,0.544,0.0,0.35,0.542,1000,model/partialdp/20210511/164815/data-wikitext-2-add10b-missed-append10_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-932.1753322_acc-0.10864_epoch-1_ep-2.840_dl-8e-05_ap-4.50
