epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path
0,50434.7284032,0.0,0.152,8e-05,63.0,0.52,0.0,0.35,0.464,1000,model/partialdp/20210510/101057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-50434.7284032_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,4945.5307523,0.04886,2.578,8e-05,4.8,0.528,0.0,0.352,0.494,1000,model/partialdp/20210510/101057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-4945.5307523_acc-0.04886_epoch-1_ep-2.578_dl-8e-05_ap-4.80
1,3678.9724233,0.04875,2.638,8e-05,4.7,0.526,0.0,0.35,0.502,1000,model/partialdp/20210510/101057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-3678.9724233_acc-0.04875_epoch-1_ep-2.638_dl-8e-05_ap-4.70
1,3228.0269845,0.04883,2.684,8e-05,4.7,0.54,0.0,0.35,0.522,1000,model/partialdp/20210510/101057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-3228.0269845_acc-0.04883_epoch-1_ep-2.684_dl-8e-05_ap-4.70
1,2963.5724715,0.04862,2.71,8e-05,4.6,0.552,0.0,0.35,0.534,1000,model/partialdp/20210510/101057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2963.5724715_acc-0.04862_epoch-1_ep-2.710_dl-8e-05_ap-4.60
1,2760.1063415,0.04862,2.733,8e-05,4.6,0.552,0.0,0.352,0.542,1000,model/partialdp/20210510/101057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2760.1063415_acc-0.04862_epoch-1_ep-2.733_dl-8e-05_ap-4.60
1,2597.6343147,0.04854,2.757,8e-05,4.6,0.552,0.0,0.352,0.542,1000,model/partialdp/20210510/101057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2597.6343147_acc-0.04854_epoch-1_ep-2.757_dl-8e-05_ap-4.60
1,2450.6375235,0.05251,2.78,8e-05,4.6,0.556,0.0,0.352,0.544,1000,model/partialdp/20210510/101057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2450.6375235_acc-0.05251_epoch-1_ep-2.780_dl-8e-05_ap-4.60
1,2340.0280147,0.04802,2.794,8e-05,4.5,0.556,0.0,0.352,0.544,1000,model/partialdp/20210510/101057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2340.0280147_acc-0.04802_epoch-1_ep-2.794_dl-8e-05_ap-4.50
1,2216.9316244,0.04871,2.806,8e-05,4.5,0.554,0.0,0.35,0.544,1000,model/partialdp/20210510/101057/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2216.9316244_acc-0.04871_epoch-1_ep-2.806_dl-8e-05_ap-4.50
